Name,Weight (lbs),Sex,Claw Length (inches),Tail Length (inches),Fur Color,Eye Size (inches),Injury,Teeth Length (inches),Height (inches),Length (inches),Number of Siblings,Age,Wood Chucked (lbs)
RICHTER,7.162168669898331,male,1.4111587731274586,3.8966136787532832,albino,0.18669836692649316,no,3.1087965500532637,4.030446414791021,13.429357941015788,4,6.0,237.68740156835995
SAYA,9.418722374559971,male,1.6334004497889,7.473807222529476,grey spots,0.28804139937900636,no,4.073830827034609,4.4169163965364415,9.32866676343039,4,9.0,64.95280103831546
MINI,15.023882862877953,male,1.840578177360623,7.917276142837039,,0.2448568415239927,yes,3.2120120849688734,13.948831151442471,22.107994179982718,1,9.0,210.1714064387343
TATER,6.921158939300828,female,3.4785113486415256,5.047603444719219,black,0.15818860049975167,no,2.470507732177436,4.307431418576772,10.442775411310736,7,7.0,99.23789518629687
KENIA,11.232450085291358,male,1.9906193462318333,5.094945759426295,albino,0.2194134374114176,no,4.537295923308464,10.105795869941165,22.08235863179072,6,1.0,3426.6538198407234
GROOT,4.484842984857448,female,4.502914993852354,3.075063547348123,red,0.09332795778977539,no,1.424310243795486,2.739338295002881,5.729172142166499,6,14.0,9.402146352765055
KLINK,7.532422386283635,female,4.275770957274378,3.742157681196446,light brown,0.16436540702552388,no,3.6157608661532716,3.9738293545139256,12.796988523795397,2,13.0,21.93227771678945
NISKA,8.51991326591106,female,4.602795422713936,6.375335960827242,grey spots,0.19524763196909975,no,5.456789799111167,5.119760342423451,15.814417125390966,6,2.0,1941.7833008174248
GENEVIEVE,8.489681844223835,female,3.504934566763832,5.016361624431253,red,0.2630480737767844,no,5.04075945049559,7.2534885703275505,17.955799842311908,2,15.0,22.043355974166406
CINNAMON,2.8443223355444234,female,3.465989086327123,1.9360360608296132,red,0.048631676557149284,no,1.3917934331108843,2.562152272128114,4.442651919419785,8,3.0,51.17945660287457
BEOWULF,8.1982037445147,female,3.963237162271882,6.206508609036588,light brown,0.1932196639566499,no,3.603526014403169,5.83456909714137,13.655580783149746,6,4.0,861.7063592112605
BONITA,11.022704254289597,male,2.1426860717592793,8.230013553424888,black,0.2409287916219929,no,6.715693504265593,8.307159525799069,21.259900184045293,3,1.0,3377.2812797988754
KOOPER,4.450846635394667,female,4.422456099624764,3.4249508318734185,black,0.09147351431025375,no,2.3931868704049357,3.208812183913226,7.615341505377444,8,26.0,8.222213666382055
MEDINA,8.545053695690575,female,2.8652788248769405,6.506050347119685,light brown,0.22645329628447802,no,2.6053109295335397,5.364743412798353,16.38167224551477,3,4.0,1134.3507277776835
AMBER,12.640673007384702,male,1.630381599848479,9.476759334961628,black,0.32146444734858365,no,3.89695025803243,8.93173892233321,16.11018722113293,6,10.0,143.5650749649679
PAXSON,6.403269069428794,female,2.9106083509321157,4.645637588620498,albino,0.1624985540657419,no,3.0892124383984583,5.800995711466492,10.492382299936107,5,3.0,603.7201768127793
CHICAGO,5.021615744626197,female,3.294287109959973,2.457379094912825,black,0.10828178910457337,no,1.3818253991343457,3.4729061775508017,8.515480054551084,3,1.0,366.37440233088955
SPANKY,9.300042333756249,male,2.2114940718958023,6.420685596854712,light brown,0.17176452892926775,no,3.629664611472604,6.820030878804897,17.994344827454395,4,27.0,4.863588287490613
LADY MOLLY,8.121467733492443,female,4.006668857575041,4.0863717477259955,grey spots,0.1371078746890331,no,3.563556066511575,5.319563577255362,14.328249213224527,9,3.0,1301.978635419525
ZEURY,9.558990042579378,female,3.3575411738034173,3.7115429673352605,dark brown,0.2610651523207734,no,3.076064790206268,9.479283312834765,15.49375969755598,4,3.0,1665.5007576905039
CLARK,7.768491125921805,female,4.025992376521965,4.5006439126968365,albino,0.22656554505222926,no,5.486613130031753,7.044083129548067,10.112445024375425,2,8.0,84.32749808409592
MADDISON,11.697778132473289,male,2.35046551393996,6.975770099188536,red,0.38415984740950987,no,5.568953425541325,11.188281709633884,20.614770894907018,0,1.0,3225.343940292976
ASHA,2.912278577562442,female,4.540640246820359,2.016691931279565,brown spots,0.07317453245164869,no,1.403942891173932,2.1429399605468067,6.081233450642979,6,5.0,33.57506835515171
XAN,9.29097681569617,female,2.9648494153560496,6.4570097707877805,black,0.18785534322084024,no,4.487373103591688,7.909742411532128,14.548632750162346,4,1.0,1897.9578466960647
CHEETO,8.583126905092112,female,3.3250968795415146,4.498582727426762,dark brown,0.2595736775355235,no,2.554618618790451,5.79274567664712,18.45263509443983,5,3.0,1882.1545881077786
DEEZLE,9.007111708385828,female,2.3626319933956483,6.3872280492824425,brown spots,0.24240853783288124,no,4.281543879543012,5.872917284662011,14.857887324844567,5,3.0,1552.1886473669163
GRAHAM,5.826652660666972,female,4.213241524401131,3.8964579749104002,brown spots,0.116324269185568,no,2.832211322416749,4.013066712285514,7.361268532426629,3,6.0,84.71720756299445
TROUPER,6.218071679595081,female,4.611852105553671,4.396635447141639,dark brown,0.1485100824973436,no,1.2416214396028071,3.905562911214912,11.672611390240085,5,6.0,146.88166056617152
LEELA,8.908460184885442,male,1.9780230552721492,7.162971061201957,dark brown,0.22819007494667617,no,5.979139002542039,7.597201969134598,18.693760466664422,6,9.0,138.86010579160055
DUKE,3.3449464819079022,female,3.9415904016291172,2.2638657126083936,brown spots,0.07549349714988043,no,0.8147403438891054,2.7013316827299283,4.410600740610785,5,5.0,28.870778336688563
BARTLETT,7.186688354370098,female,2.734616213335432,4.5279288491534,grey,0.15957382696103847,no,5.003967885107112,5.699880231168657,15.609199592855033,6,5.0,534.5487501772081
CHEVY,8.849362470482765,female,3.5119818286583855,6.400238017825572,red,0.2275366372466091,yes,3.6824938010972232,4.97675641492941,12.451088710096377,2,1.0,738.7902028318525
CHEWEY,5.277703396944991,female,3.2378327724286633,3.5615364715004416,dark brown,0.14331581774717764,no,2.6509583545052835,4.501719462756367,7.940690441215904,2,4.0,209.2667208889876
YETI,7.515797012712552,male,2.084862611607881,3.280743708495949,grey spots,0.20831314754813865,no,2.4188896473181978,6.09409431512304,10.170022083947787,6,2.0,861.739085296915
SPARK PUG,8.15895775621402,male,2.087541047816217,2.9780785390276514,black,0.08072658723065584,no,3.614594153275796,4.548782374321849,10.387427323074464,8,2.0,1029.275981852314
BUBBY,7.1717283234616085,male,1.5911345443352378,3.894994686126356,red,0.17878379151337837,no,4.119811410397174,4.420265544677912,12.08115514774611,10,2.0,1059.5584209490346
OONA,6.632525525728767,female,3.529904039283611,5.746240380820061,albino,0.16130825750744715,no,1.6832413882359964,4.67167105569246,10.587266054139873,9,1.0,780.395443587864
KATE,7.379652616616847,female,3.796766161316756,7.172486225028157,red,0.18438955403606155,no,3.7453521076488294,6.2884603187976476,8.957917738568876,1,2.0,779.0144730256122
STUBBS,8.512286794560325,female,3.1992753845222315,6.381952654060657,light brown,0.24412642795129158,no,3.1720512498250812,5.044489727505038,14.034642910069987,5,4.0,947.6780471253619
ROXXY,7.137409810697394,female,3.1850922545256166,5.0385133668346755,dark brown,0.15933203252257616,yes,2.380602489766743,2.7484339801186723,14.164670742275852,3,10.0,21.849270548732147
ALBUS,3.407211697392485,female,2.820689425011362,1.4997178325992953,black,0.06247022711868607,no,1.187016568093205,2.804265934278087,5.807764722241224,7,3.0,85.12040064893512
KAPPY,9.40776605317962,male,2.7535355462686937,6.451244992650707,light brown,0.19948196986030203,no,8.123188728846213,5.149442470213066,14.100717145296898,4,10.0,82.08107466021951
BAM BAM,15.970252141302074,male,1.4459076343047776,9.148194798568273,grey,0.3316111183015245,no,9.859166388551156,14.742795528174227,32.43985165211185,4,2.0,4765.924987403603
COOKIE LEE,11.732970455720304,male,2.119914538585605,9.345448326255985,light brown,0.3537995779650298,no,4.434014940364084,8.190559938674479,18.383461075676884,6,7.0,529.0042843837313
NORSE,11.015297897835366,female,4.827545871781453,5.269881544978292,grey spots,0.2607362797321294,no,5.17508183312614,6.628716564314446,16.51030123776761,2,1.0,2377.2296228522646
MIDAS,11.609045058983785,male,2.21596804313126,5.695944633158673,grey spots,0.31419554070863476,yes,4.5073154205420645,10.454652597232613,19.075518813288877,4,1.0,1405.5923395614782
LYLA,9.433239109156288,male,2.372314768158157,6.0956255730980065,grey,0.266800847396502,no,5.687646310480186,5.197460007387265,12.94016899516086,8,5.0,670.2783111483021
AZULA,6.83881128064137,male,2.496388788523305,4.138881019995062,albino,0.09728909011644955,no,2.730738762351136,4.124656125127951,6.654926123850151,1,1.0,507.5748592029193
NAHLA,9.04147696014222,male,1.7934853823393737,6.469478984614588,black,0.1782779039889349,no,5.270012806978909,7.262888839143543,10.046602449914719,7,1.0,1217.459100568679
HUEY,9.432641017678048,female,4.054145917576158,4.95699217851724,grey,0.1682276210954886,yes,3.8594974548087375,8.231020475460497,15.907569256624969,6,8.0,97.03773807001018
TOKLAT,13.645820233313847,male,2.367602208461036,6.761673551257822,dark brown,0.25683187730423535,no,5.798684165416781,9.236521774861759,18.150466178904,4,6.0,1009.2454908353592
SID,8.952162450142776,female,3.710107323547661,5.8191706766958164,dark brown,0.15777207779381322,no,3.1736260358035953,3.9887801037489345,13.216426439315685,6,4.0,933.2539667525158
SYDNEY MARIE,9.091774909304927,female,3.656085840686078,5.9775863460130845,dark brown,0.1929582921517276,no,4.058212886404791,7.498201191202932,16.20161337578554,9,1.0,2100.3406657936825
ISLA,10.407655087400713,male,2.0195554753567584,5.690648275854273,albino,0.32357009181734814,no,6.843379297134974,5.904361767122832,13.742640029274902,4,1.0,2011.2282048313723
DUFFY,6.458054754039749,female,4.370865235947094,3.8316100380729865,brown spots,0.14544204448477188,no,2.5823643187028926,4.856441557028935,9.976449817036215,3,1.0,727.4506871988065
YARA,5.5679893819394115,male,0.7646928326889944,2.2790196553275255,red,0.1617814273017597,no,3.5641366264272096,3.4154725446931082,10.147329033129942,4,5.0,183.52352965675144
PEEKABOO,4.0484396081445855,female,4.108760001010491,3.2692191136240147,grey spots,0.0738099456170101,no,0.9636240851707308,2.8445929891278743,6.0706919877081384,4,11.0,10.09970907693486
MAURICE,6.672840272060945,female,3.9168364643494122,4.406101363647892,grey,0.20311311907591093,no,2.555650678380737,4.8114437587752334,9.33193503490504,11,2.0,669.6201979269517
SIN TU,7.464134527819958,male,1.4326129569508623,4.271882144890924,black,0.2650401893423133,yes,6.276763350548449,2.960027244563854,11.799729861834932,2,2.0,608.7723610272183
KATY,10.75147767466021,female,4.141862551168003,7.867652454437968,grey spots,0.21056462299104262,no,4.636702157278789,7.792100604271131,22.87677967083226,5,4.0,2370.540293367471
RUHIG,11.247684608552934,male,1.7638696576156907,7.208742513608638,black,0.23611645745925802,no,6.126649019960906,8.24382497615715,18.012409220116226,5,3.0,2385.9571511391327
INGRID,6.317762472427039,female,3.2874497848193474,4.60415120282309,brown spots,0.08759632330340626,no,2.737307395756684,5.222921468652165,11.26842166450396,5,5.0,259.16146166703425
BUSTER,10.394585978285114,male,1.404287764773019,5.812920218488091,dark brown,0.2421243358242211,no,4.106032301984036,8.625421828433192,17.804514245870298,9,3.0,2181.7194887362266
SNOWBALL,6.403228779612067,female,4.839202294222815,3.745678588172645,black,0.1609353164316959,no,1.722516621849823,4.084789786264812,7.801935533628629,6,6.0,99.11042410448299
MONACO,8.763101840489497,male,1.146823665881289,7.275815203277817,dark brown,0.21556237111878468,no,2.916651725191967,7.460732346051382,17.173954711911588,0,5.0,787.7186866165796
TEZI,11.221950581667505,male,2.5085903198850525,8.81102070801189,dark brown,0.22225965149444493,no,3.282314629706113,8.45434920464414,18.776163019970127,5,1.0,2683.634048293411
MONTY,5.863174519590914,female,4.201851084152887,2.6302754283283605,light brown,0.15031681143793088,no,3.7754456824159375,4.899668026490634,7.656318487206913,5,3.0,379.1223785412282
PETE,10.257026059769386,male,2.2156439739377074,7.10028990742208,red,0.24858602985752806,no,6.019034207049656,7.653367686298385,16.222472229028337,2,1.0,2368.2611226532163
KOGA,14.328682799083065,male,1.7015584343020398,7.174935173267044,grey spots,0.2849793132897872,yes,2.9778963166889483,10.039522531830288,15.293930025133909,5,7.0,260.9169311310687
MISHKA,11.55942958670115,male,1.9529829945185284,10.968474628786236,albino,0.19006126933318662,,0.8508158442788508,7.458546634000235,15.904481302426014,6,4.0,1374.0438194832
TARKUS,5.5379661792394845,female,4.015658907638791,2.8517184400603077,grey,0.12721295230786636,yes,2.400150226571631,2.4786528799857823,8.026069276231365,5,8.0,17.12706301241294
NELLIE,9.840004772969184,female,3.229277268771529,6.398872598542099,albino,0.23659796634061406,no,6.015745275076814,6.620026725390728,21.883944276307272,7,17.0,22.58152585513448
PURPLE RAIN,9.184142412505654,male,1.5529107055078604,7.370691015605385,dark brown,0.21176326417952376,no,2.2400415060092946,5.201153556572873,15.79097697985599,9,3.0,1605.6899067643174
GIDEON,11.179347453837629,male,1.6262728831201418,7.314168866153744,albino,0.23389322995503198,no,4.474173635333376,7.4345208162250636,20.235974624856752,8,6.0,891.9462234170459
WILLY,15.02943435420127,male,1.7624586855260698,9.325616724191434,black,0.3628607728106218,no,6.505001630208465,12.775907512506366,26.78641029991129,1,11.0,285.68974280852234
FORD,14.731904888891476,male,1.636689353633755,7.7773243907013,red,0.3585602847078752,no,5.542138446090959,8.473733840624378,20.04142689419708,4,11.0,183.00399100263834
SURRI,14.914310020011348,male,2.6535305475174997,9.996734877227478,dark brown,0.3978873906908409,no,7.851799288321984,8.344959557325726,33.97272020088863,5,6.0,2489.819829371217
NAYA,11.145679536545899,male,1.5152840943694297,7.9737447548853995,brown spots,0.347933622063167,no,5.536822199067066,8.501595553762321,19.24968773901572,6,15.0,31.798000531692576
GEMMA,9.84797063929893,male,1.8632106229821954,6.2034211511483965,grey spots,0.24611151688111385,no,4.35305123630038,8.183915308138838,16.486141639887087,11,2.0,2208.362205393492
MIKI,5.574863573122227,male,2.357533214653946,3.893327789077037,dark brown,0.16228747968314453,no,1.9836210545536104,4.252977146686902,10.064359557261072,5,1.0,554.0089597681509
LUCY GOLDEN,5.783620602549327,female,3.7137999300712567,4.026443886532303,grey spots,0.13722245791202933,no,3.670918474556794,4.96454558485212,9.43544203915841,2,30.0,6.795752087577425
MOSES,10.78672370699989,male,2.5015694660253964,7.62519071549787,light brown,0.30559067282972624,no,7.04088052074774,6.841547684220353,20.428486294579326,5,2.0,3139.5158897900697
ANOWIK,6.832688087172179,female,4.180258207381587,5.654381593769915,grey spots,0.19067870738589043,no,3.065074216017593,5.22406528072531,13.144260277837777,7,1.0,1138.5235160471648
KERRY,14.157449619347407,male,1.124917400137514,10.21432522001348,red,0.46935370148214656,no,6.308826142506858,9.705544186456393,16.353105944356443,4,6.0,930.0879941279998
SNOWFLAKE,10.76625425804153,male,2.1012676186220745,7.869840717963624,black,0.30396601428723696,no,5.07522813111234,5.704450481538439,15.92842179215251,2,13.0,41.48006027797309
BUTKUS,7.245738503013044,male,2.3454321966608727,6.341033991765535,albino,0.13947755284174845,no,3.5998292453941945,6.19695345968877,11.966523503834777,11,1.0,1120.6729886700823
FRANNIE,7.183628210895191,male,0.9384469269760879,3.8433233992123714,dark brown,0.1823117186515502,no,3.4571943105971137,4.69359974078408,10.787651515004962,4,8.0,67.88998085640586
BYRON,4.064005981734173,female,1.7722293118697714,1.5705455751161608,dark brown,0.09589546963407809,no,2.0257437660024262,2.4342742835832913,5.074898627360272,4,4.0,75.68993749805938
BRIO,11.613218577251983,male,2.529479734619524,6.085429078651509,dark brown,0.2855651186466207,no,4.688316684252646,7.57166775081622,14.98687600275721,3,4.0,1420.879136753289
BRADLEY,6.955418946860012,female,3.1831897299579586,5.2779560562671755,black,0.17974023948920217,yes,2.997462226245213,3.470463284820745,14.129846556390367,6,1.0,644.4403519306584
ROISIN,4.492971730499173,female,3.1106148956284527,3.8728971176818203,red,0.128818535559746,no,1.7827278243370668,2.9609940956569174,8.115852502824078,1,1.0,289.753849987749
KALA,7.231307108815114,male,1.8235262677476773,2.7812289461556334,brown spots,0.167518836851437,no,4.698087953902781,4.308069308014254,13.150632221494803,5,1.0,1273.463676821017
CHEWBACA,9.863068176126264,male,1.2626813249826319,6.752712337673094,red,0.2713153282683006,no,4.158457331580018,3.8717492393713373,20.128056906761444,4,3.0,2485.7108495052207
ARTEMIS,10.773028334043715,male,1.7958657108050557,8.530092046826526,albino,0.14042737609337047,no,3.430831344448977,8.154212945515347,16.015254054369997,10,5.0,955.7966965708299
ELI,14.556632731742269,male,2.334133421614713,10.698863104976375,red,0.2872677611673006,no,11.837630048971896,12.130171841429947,29.005964542548767,4,4.0,3746.1120207438366
AUDREY,6.21408136358904,female,4.15914630962247,3.188756521065331,dark brown,0.09997542253071671,no,1.939028367504009,3.241221801150005,11.90105428925432,2,13.0,15.515115720938125
BOGIE,6.952121230610591,female,3.9462794763500955,5.302075043469654,red,0.15003792674271385,no,3.572782893593911,3.566397117959739,8.270689522245748,3,4.0,377.1360398964138
RIP,5.335417893966854,female,4.376291630411277,3.1197420302483407,albino,0.11339933157976535,no,2.4618378809156107,4.985469978335477,7.215907252858652,3,13.0,11.427840704159523
KETEL,6.497769370789936,female,2.002505392362512,5.7595023538890855,dark brown,0.1783311783727332,no,4.469946938299754,5.281102883419308,7.740011551186923,5,3.0,477.2020869685124
GRIFFIN,6.787096390225051,female,3.5651062985007758,3.20699273812044,red,0.18830618188697654,no,1.7396813311340185,5.027621040958678,10.211073012681933,7,3.0,600.8470164013078
TEKO,8.638519837116688,female,3.741760543138664,5.593300921554553,grey,0.1543100658742877,yes,4.2563827463336805,6.529866281343261,14.600163027938343,4,1.0,887.1139104304799
KIZZIE,4.979854635294328,female,3.116096413744635,3.667042321453768,red,0.1166316148378488,no,2.2425875076111463,3.4289528623738343,7.784558054594215,4,3.0,263.3044174503869
BRIAN,5.675400514317279,female,3.3753656424784055,3.446910862954774,grey spots,0.13545299020690987,no,3.5841888542218308,3.725145572357638,5.948464194021193,6,24.0,6.075896412439617
RILIAN,7.678770695419522,female,3.463860551963931,5.954441644661982,light brown,0.19727918445290324,no,4.550452437554824,3.6975968073719794,10.239952591644908,5,7.0,127.74848866460243
MAXIMILLIAN,7.96287442595944,female,3.024031955815264,5.386537838607812,grey,0.21445136760790612,no,1.8850525073572544,5.574929677811522,12.776066496419743,4,3.0,1026.1986471672583
MORA,7.860364359515354,female,3.0101646891751423,5.429682697617487,red,0.1366110972701609,no,2.737622543344614,5.813721431545148,14.553221034485384,10,2.0,1467.681952358412
SMOKIN JOE,12.891494856261659,male,1.813635856951819,5.776585904620012,dark brown,0.3509702447135142,no,5.89966987747306,7.6451739690687806,25.666593550251285,2,1.0,4096.598139720681
WRIGLEY,2.8720738486557265,female,4.3035940147336955,1.7755643443991183,black,0.046821249213154954,no,1.769372374794427,1.3446825116278578,4.056695583903911,4,3.0,54.59413804460883
DOMINO,5.339340395177456,female,4.330256642853963,3.0565748534800345,albino,0.09605397016241357,no,3.057946881482591,3.220709657101565,12.312192952587205,5,7.0,77.56875402954729
KATIE,10.136606701823155,male,2.1329312649169196,5.020159662006482,black,0.2820904080611955,no,2.503903729038561,6.602405026401775,14.993656272307236,4,8.0,188.29605516958884
PANCH,8.976681490297734,male,1.4815117321445312,5.582750290962087,dark brown,0.16811777049369517,no,3.6931336275297912,5.468864375495309,14.036346924861016,4,4.0,1016.9556143949576
BETTY,9.65897159153884,male,0.917046613130437,8.138559298520324,grey spots,0.22041061704100687,no,4.52074920735682,7.460921255156098,17.85805460855105,8,9.0,147.42289269112052
NIKO,11.42338901400078,male,2.652066214641349,6.902687092411219,grey spots,0.2695037132318145,no,2.9108548336777758,6.426097212740264,19.931050162588388,4,2.0,2849.0757261513886
MUFFIN,8.61151183581362,female,4.510075441888737,5.506003689044304,red,0.2686815047325162,no,4.418373072256177,5.15416724346402,12.634250988742894,8,3.0,1214.448250354873
MIA (DULCI),8.799120284876722,male,2.111587111669485,5.206873161664994,dark brown,0.19686471859308405,no,1.1968013869112295,5.046429417772553,13.672568619406208,3,7.0,200.88684122991413
FROST T,5.804681051904037,male,2.349872133630727,2.863633056651519,dark brown,0.12746260668020873,no,3.388780522297217,3.415415148201494,5.299018799182783,5,6.0,61.23538324080375
KEELY,14.451901204611644,male,1.8791957610372034,8.411850489269037,grey spots,0.256175516821424,no,10.257038980874324,10.88653687424991,26.94089492858335,8,1.0,4258.919746159216
ANNABELLE,8.415017973260976,female,4.098136541376885,4.665630462236734,dark brown,0.16402318225800894,no,0.7242214444270975,8.018504018603107,15.68302008700392,4,4.0,966.1965524148956
PISTOL,7.959374920195747,female,4.013133917947794,3.807420530932027,dark brown,0.1735945453580511,no,2.731078642863493,5.853632597236636,11.623792808702225,3,2.0,1116.0366773599376
NACHO,6.811199797397857,female,3.758072496453367,4.197966170111061,grey spots,0.15642520008920832,no,2.5159527579640364,6.250961147108708,8.511724401940306,0,6.0,123.97433163182937
BUXTON,7.604967346165294,female,3.4988118033943834,5.727384981568772,albino,0.07799984049024491,no,4.596155543856426,5.958771756629218,14.584367894278326,8,1.0,1553.7230724766928
OLSEN,4.019780484701448,female,3.9731044767950165,3.6591678247806785,black,0.09471677639012224,no,1.6852365655678074,3.0499934853620014,6.298788544356043,9,5.0,57.41287646243899
YODA,8.618251069027776,female,3.152571557445125,5.342646258121021,dark brown,0.21630179090438204,no,3.238410088848906,5.726968011994898,9.346392553077715,5,3.0,814.1710087631739
SALTY,1.9602643558030983,male,1.988648721670894,1.6036978723503004,grey spots,0.028790989474037385,no,1.1316321265235059,1.0762450947568118,4.325642204607977,10,4.0,16.4999929513747
